file,group,line,text,style,take,sample_rate,seconds,peak
command-sase-shout-2.wav,command,sase,刺せ,shout,2,48000,2.320,0.6046
command-sase-shout-3.wav,command,sase,刺せ,shout,3,48000,2.168,0.6717
command-sase-fast-1.wav,command,sase,刺せ,fast,1,48000,1.792,0.5556
command-sase-fast-2.wav,command,sase,刺せ,fast,2,48000,1.832,0.5685
command-sase-fast-3.wav,command,sase,刺せ,fast,3,48000,1.912,0.5851
command-sase-long-1.wav,command,sase,刺せ,long,1,48000,2.360,0.4190
command-sase-long-2.wav,command,sase,刺せ,long,2,48000,2.731,0.4780
command-sase-long-3.wav,command,sase,刺せ,long,3,48000,2.640,0.4673
command-ute-normal-1.wav,command,ute,撃て,normal,1,48000,2.221,0.4598
command-ute-normal-2.wav,command,ute,撃て,normal,2,48000,2.312,0.4759
command-ute-normal-3.wav,command,ute,撃て,normal,3,48000,2.309,0.3761
command-ute-shout-1.wav,command,ute,撃て,shout,1,48000,2.392,0.5308
command-ute-shout-2.wav,command,ute,撃て,shout,2,48000,2.221,0.3387
command-ute-shout-3.wav,command,ute,撃て,shout,3,48000,2.872,0.3510
command-ute-fast-1.wav,command,ute,撃て,fast,1,48000,1.651,0.5295
command-ute-fast-2.wav,command,ute,撃て,fast,2,48000,1.941,0.3631
command-ute-fast-3.wav,command,ute,撃て,fast,3,48000,1.963,0.4106
command-ute-long-1.wav,command,ute,撃て,long,1,48000,2.720,0.4340
command-ute-long-2.wav,command,ute,撃て,long,2,48000,2.931,0.4315
command-ute-long-3.wav,command,ute,撃て,long,3,48000,3.011,0.3818
command-kire-normal-1.wav,command,kire,斬れ,normal,1,48000,2.312,0.5370
command-kire-normal-2.wav,command,kire,斬れ,normal,2,48000,2.259,0.4330
command-kire-normal-3.wav,command,kire,斬れ,normal,3,48000,2.723,0.4132
command-kire-shout-1.wav,command,kire,斬れ,shout,1,48000,2.312,0.6451
command-kire-shout-2.wav,command,kire,斬れ,shout,2,48000,2.139,0.4962
command-kire-shout-3.wav,command,kire,斬れ,shout,3,48000,2.131,0.4087
command-kire-fast-1.wav,command,kire,斬れ,fast,1,48000,1.773,0.7107
command-kire-fast-2.wav,command,kire,斬れ,fast,2,48000,1.869,0.5918
command-kire-fast-3.wav,command,kire,斬れ,fast,3,48000,1.931,0.5547
command-kire-long-1.wav,command,kire,斬れ,long,1,48000,2.653,0.3882
command-kire-long-2.wav,command,kire,斬れ,long,2,48000,3.021,0.3677
command-kire-long-3.wav,command,kire,斬れ,long,3,48000,3.109,0.3164
command-deadly-normal-1.wav,command,deadly,デッドリーアサルト,normal,1,48000,3.040,0.5626
command-deadly-normal-2.wav,command,deadly,デッドリーアサルト,normal,2,48000,3.251,0.5565
command-deadly-normal-3.wav,command,deadly,デッドリーアサルト,normal,3,48000,3.221,0.6252
command-deadly-shout-1.wav,command,deadly,デッドリーアサルト,shout,1,48000,3.360,0.5675
command-deadly-shout-2.wav,command,deadly,デッドリーアサルト,shout,2,48000,3.443,0.5246
command-deadly-shout-3.wav,command,deadly,デッドリーアサルト,shout,3,48000,3.509,0.7381
command-deadly-fast-1.wav,command,deadly,デッドリーアサルト,fast,1,48000,2.123,0.6028
command-deadly-fast-2.wav,command,deadly,デッドリーアサルト,fast,2,48000,2.392,0.6169
command-deadly-fast-3.wav,command,deadly,デッドリーアサルト,fast,3,48000,2.461,0.6314
command-deadly-long-1.wav,command,deadly,デッドリーアサルト,long,1,48000,4.611,0.6738
command-deadly-long-2.wav,command,deadly,デッドリーアサルト,long,2,48000,4.181,0.6420
command-deadly-long-3.wav,command,deadly,デッドリーアサルト,long,3,48000,3.989,0.5064
command-rensha-normal-1.wav,command,rensha,連射,normal,1,48000,2.269,0.6658
command-rensha-normal-2.wav,command,rensha,連射,normal,2,48000,2.571,0.5584
command-rensha-normal-3.wav,command,rensha,連射,normal,3,48000,2.480,0.7310
command-rensha-shout-1.wav,command,rensha,連射,shout,1,48000,2.429,0.5107
command-rensha-shout-2.wav,command,rensha,連射,shout,2,48000,2.392,0.3643
command-rensha-shout-3.wav,command,rensha,連射,shout,3,48000,2.629,0.5188
command-rensha-fast-1.wav,command,rensha,連射,fast,1,48000,1.971,0.7002
command-rensha-fast-2.wav,command,rensha,連射,fast,2,48000,2.171,0.6620
command-rensha-fast-3.wav,command,rensha,連射,fast,3,48000,2.061,0.7532
command-rensha-long-1.wav,command,rensha,連射,long,1,48000,3.160,0.5248
command-rensha-long-2.wav,command,rensha,連射,long,2,48000,3.080,0.4547
command-rensha-long-3.wav,command,rensha,連射,long,3,48000,3.152,0.3804
command-guard-normal-1.wav,command,guard,ガード,normal,1,48000,2.501,0.4552
command-guard-normal-2.wav,command,guard,ガード,normal,2,48000,2.429,0.5822
command-guard-normal-3.wav,command,guard,ガード,normal,3,48000,2.331,0.5427
command-guard-shout-1.wav,command,guard,ガード,shout,1,48000,2.611,0.8081
command-guard-shout-2.wav,command,guard,ガード,shout,2,48000,2.691,0.7891
command-guard-shout-3.wav,command,guard,ガード,shout,3,48000,2.941,0.6633
command-guard-fast-1.wav,command,guard,ガード,fast,1,48000,1.701,0.6390
command-guard-fast-2.wav,command,guard,ガード,fast,2,48000,1.763,0.5258
command-guard-fast-3.wav,command,guard,ガード,fast,3,48000,1.659,0.6796
command-guard-long-1.wav,command,guard,ガード,long,1,48000,2.363,0.5509
command-guard-long-2.wav,command,guard,ガード,long,2,48000,2.872,0.6335
command-guard-long-3.wav,command,guard,ガード,long,3,48000,2.851,0.4112
command-mamore-normal-1.wav,command,mamore,守れ,normal,1,48000,2.392,0.3591
command-mamore-normal-2.wav,command,mamore,守れ,normal,2,48000,2.179,0.5135
command-mamore-normal-3.wav,command,mamore,守れ,normal,3,48000,2.491,0.5268
command-mamore-shout-1.wav,command,mamore,守れ,shout,1,48000,2.451,0.4141
command-mamore-shout-2.wav,command,mamore,守れ,shout,2,48000,2.381,0.5261
command-mamore-shout-3.wav,command,mamore,守れ,shout,3,48000,2.251,0.4055
command-mamore-fast-1.wav,command,mamore,守れ,fast,1,48000,1.773,0.6786
command-mamore-fast-2.wav,command,mamore,守れ,fast,2,48000,1.829,0.5415
command-mamore-fast-3.wav,command,mamore,守れ,fast,3,48000,1.880,0.6966
command-mamore-long-1.wav,command,mamore,守れ,long,1,48000,2.712,0.6852
command-mamore-long-2.wav,command,mamore,守れ,long,2,48000,2.741,0.3441
command-mamore-long-3.wav,command,mamore,守れ,long,3,48000,2.771,0.4553
command-kowase-normal-1.wav,command,kowase,壊せ,normal,1,48000,2.363,0.6679
command-kowase-normal-2.wav,command,kowase,壊せ,normal,2,48000,2.579,0.4299
command-kowase-normal-3.wav,command,kowase,壊せ,normal,3,48000,2.491,0.6056
command-kowase-shout-1.wav,command,kowase,壊せ,shout,1,48000,2.392,0.4135
command-kowase-shout-2.wav,command,kowase,壊せ,shout,2,48000,2.451,0.2863
command-kowase-shout-3.wav,command,kowase,壊せ,shout,3,48000,2.741,0.6047
command-kowase-fast-1.wav,command,kowase,壊せ,fast,1,48000,1.853,0.6146
command-kowase-fast-2.wav,command,kowase,壊せ,fast,2,48000,1.941,0.8231
command-kowase-fast-3.wav,command,kowase,壊せ,fast,3,48000,1.901,0.7051
command-kowase-long-1.wav,command,kowase,壊せ,long,1,48000,3.072,0.5346
command-kowase-long-2.wav,command,kowase,壊せ,long,2,48000,3.389,0.4648
command-kowase-long-3.wav,command,kowase,壊せ,long,3,48000,3.451,0.4913
vowel-a-high-1.wav,vowel,a,あ,high,1,48000,3.229,0.3317
vowel-a-high-2.wav,vowel,a,あ,high,2,48000,2.891,0.5011
vowel-a-high-3.wav,vowel,a,あ,high,3,48000,3.360,0.3929
vowel-a-low-1.wav,vowel,a,あ,low,1,48000,3.040,0.4607
vowel-a-low-2.wav,vowel,a,あ,low,2,48000,2.752,0.3706
vowel-a-low-3.wav,vowel,a,あ,low,3,48000,3.131,0.2787
vowel-i-high-1.wav,vowel,i,い,high,1,48000,2.971,0.1269
vowel-i-high-2.wav,vowel,i,い,high,2,48000,3.211,0.1002
vowel-i-high-3.wav,vowel,i,い,high,3,48000,3.320,0.1044
vowel-i-low-1.wav,vowel,i,い,low,1,48000,3.632,0.1919
vowel-i-low-2.wav,vowel,i,い,low,2,48000,3.379,0.1790
vowel-i-low-3.wav,vowel,i,い,low,3,48000,3.421,0.2082
vowel-u-high-1.wav,vowel,u,う,high,1,48000,3.029,0.1973
vowel-u-high-2.wav,vowel,u,う,high,2,48000,3.221,0.2180
vowel-u-high-3.wav,vowel,u,う,high,3,48000,3.323,0.1900
vowel-u-low-1.wav,vowel,u,う,low,1,48000,3.688,0.3275
vowel-u-low-2.wav,vowel,u,う,low,2,48000,3.349,0.1809
vowel-u-low-3.wav,vowel,u,う,low,3,48000,3.472,0.2135
vowel-e-high-1.wav,vowel,e,え,high,1,48000,3.251,0.3394
vowel-e-high-2.wav,vowel,e,え,high,2,48000,3.272,0.2720
vowel-e-high-3.wav,vowel,e,え,high,3,48000,3.571,0.2542
vowel-e-low-1.wav,vowel,e,え,low,1,48000,3.061,0.2658
vowel-e-low-2.wav,vowel,e,え,low,2,48000,3.760,0.2959
vowel-e-low-3.wav,vowel,e,え,low,3,48000,3.421,0.4532
vowel-o-high-1.wav,vowel,o,お,high,1,48000,3.341,0.5507
vowel-o-high-2.wav,vowel,o,お,high,2,48000,3.261,0.6445
vowel-o-high-3.wav,vowel,o,お,high,3,48000,3.373,0.5201
vowel-o-low-1.wav,vowel,o,お,low,1,48000,3.272,0.3054
vowel-o-low-2.wav,vowel,o,お,low,2,48000,3.331,0.3010
vowel-o-low-3.wav,vowel,o,お,low,3,48000,3.371,0.2990
other-uwa-normal-1.wav,other,uwa,うわっ,normal,1,48000,2.181,0.6996
other-uwa-normal-2.wav,other,uwa,うわっ,normal,2,48000,2.131,0.6139
other-uwa-normal-3.wav,other,uwa,うわっ,normal,3,48000,2.000,0.5126
other-uwa-shout-1.wav,other,uwa,うわっ,shout,1,48000,2.003,0.7242
other-uwa-shout-2.wav,other,uwa,うわっ,shout,2,48000,2.232,0.4998
other-uwa-shout-3.wav,other,uwa,うわっ,shout,3,48000,1.989,0.7202
other-yossha-normal-1.wav,other,yossha,よっしゃ,normal,1,48000,2.312,0.4532
other-yossha-normal-2.wav,other,yossha,よっしゃ,normal,2,48000,2.341,0.3885
other-yossha-normal-3.wav,other,yossha,よっしゃ,normal,3,48000,2.461,0.4406
other-yossha-shout-1.wav,other,yossha,よっしゃ,shout,1,48000,2.672,0.3172
other-yossha-shout-2.wav,other,yossha,よっしゃ,shout,2,48000,2.429,0.5960
other-yossha-shout-3.wav,other,yossha,よっしゃ,shout,3,48000,2.323,0.3724
other-ee-normal-1.wav,other,ee,えー,normal,1,48000,1.923,0.2001
other-ee-normal-2.wav,other,ee,えー,normal,2,48000,1.829,0.1709
other-ee-normal-3.wav,other,ee,えー,normal,3,48000,2.200,0.1832
other-ee-shout-1.wav,other,ee,えー,shout,1,48000,2.112,0.5256
other-ee-shout-2.wav,other,ee,えー,shout,2,48000,2.040,0.5924
other-ee-shout-3.wav,other,ee,えー,shout,3,48000,2.051,0.7112
other-yabai-normal-1.wav,other,yabai,やばい,normal,1,48000,2.011,0.5266
other-yabai-normal-2.wav,other,yabai,やばい,normal,2,48000,2.091,0.3257
other-yabai-normal-3.wav,other,yabai,やばい,normal,3,48000,2.091,0.5456
other-yabai-shout-1.wav,other,yabai,やばい,shout,1,48000,2.181,0.6773
other-yabai-shout-2.wav,other,yabai,やばい,shout,2,48000,2.483,0.5379
other-yabai-shout-3.wav,other,yabai,やばい,shout,3,48000,2.077,0.6833
other-laugh-normal-1.wav,other,laugh,(笑う),normal,1,48000,2.323,0.6204
other-laugh-normal-2.wav,other,laugh,(笑う),normal,2,48000,2.211,0.6897
other-laugh-normal-3.wav,other,laugh,(笑う),normal,3,48000,2.851,0.4613
other-laugh-shout-1.wav,other,laugh,(笑う),shout,1,48000,2.731,0.6011
other-laugh-shout-2.wav,other,laugh,(笑う),shout,2,48000,2.773,0.7259
other-laugh-shout-3.wav,other,laugh,(笑う),shout,3,48000,4.152,0.7538
